stage,occasion,occasion_label,group,group_label,metric,metric_label,n,mean,sd,se,ci95_low,ci95_high
training,day1_session2,Day 1/S2,uniform,Uniform difficulty,rt_ln_duration_s,RT-LN total duration (s),11,6.614727272727273,13.421989525334231,4.046882108692183,-2.4022879830579216,15.631742528512468
training,day1_session2,Day 1/S2,uniform,Uniform difficulty,rt_ln_count,RT-LN count,11,1.3636363636363635,2.062654952856986,0.6219138682358935,-0.022074088769103106,2.74934681604183
training,day2_session1,Day 2/S1,uniform,Uniform difficulty,lt_rn_duration_s,LT-RN total duration (s),11,258.40463636363637,105.74860835043904,31.884405090968198,187.36175460798117,329.44751811929154
training,day2_session1,Day 2/S1,uniform,Uniform difficulty,lt_rn_count,LT-RN count,11,15.909090909090908,4.846742111038,1.4613477307207359,12.653005254010061,19.165176564171755
training,day2_session1,Day 2/S1,uniform,Uniform difficulty,rt_ln_duration_s,RT-LN total duration (s),11,7.2880909090909105,12.38663640747193,3.734711398012741,-1.033364657777251,15.609546475959071
training,day2_session1,Day 2/S1,uniform,Uniform difficulty,rt_ln_count,RT-LN count,11,1.4545454545454546,2.6594599588501557,0.8018573480436344,-0.3321040563812474,3.2411949654721566
training,day2_session2,Day 2/S2,uniform,Uniform difficulty,lt_rn_duration_s,LT-RN total duration (s),11,238.9250909090909,94.45389718741578,28.478921541587578,175.47009935961077,302.380082458571
training,day2_session2,Day 2/S2,uniform,Uniform difficulty,lt_rn_count,LT-RN count,11,17.818181818181817,5.896069569097397,1.7777318635025916,13.857148384697732,21.779215251665903
training,day2_session2,Day 2/S2,uniform,Uniform difficulty,rt_ln_duration_s,RT-LN total duration (s),11,5.319999999999999,10.076518287583266,3.0381845775516547,-1.449497096748349,12.089497096748348
training,day2_session2,Day 2/S2,uniform,Uniform difficulty,rt_ln_count,RT-LN count,11,1.0,2.0,0.6030226891555273,-0.34361828233667246,2.3436182823366725
training,day3_session1,Day 3/S1,uniform,Uniform difficulty,lt_rn_duration_s,LT-RN total duration (s),11,248.8192727272727,47.01943105162143,14.176891877655828,217.2311891342591,280.4073563202863
training,day3_session1,Day 3/S1,uniform,Uniform difficulty,lt_rn_count,LT-RN count,11,25.0,6.6932802122726045,2.018099916438052,20.503393168994123,29.496606831005877
training,day3_session1,Day 3/S1,uniform,Uniform difficulty,rt_ln_duration_s,RT-LN total duration (s),11,11.902,22.87440941751284,6.896893939896556,-3.4652373455122056,27.269237345512202
training,day3_session1,Day 3/S1,uniform,Uniform difficulty,rt_ln_count,RT-LN count,11,2.4545454545454546,4.782544016810223,1.441991277010789,-0.7584113339875866,5.667502243078496
training,day3_session2,Day 3/S2,uniform,Uniform difficulty,lt_rn_duration_s,LT-RN total duration (s),11,250.12199999999996,68.39772910557777,20.622691268688392,204.17178035171725,296.07221964828267
training,day3_session2,Day 3/S2,uniform,Uniform difficulty,lt_rn_count,LT-RN count,11,23.454545454545453,10.318562267715752,3.111163583448354,16.522440999379334,30.386649909711572
training,day3_session2,Day 3/S2,uniform,Uniform difficulty,rt_ln_duration_s,RT-LN total duration (s),11,14.33,25.82502679185445,7.786538551768805,-3.0194890696850134,31.67948906968501
training,day3_session2,Day 3/S2,uniform,Uniform difficulty,rt_ln_count,RT-LN count,11,3.272727272727273,6.1333662713213055,1.8492795112539915,-0.8477242544799339,7.39317879993448
training,day1_session1,Day 1/S1,uniform,Uniform difficulty,lt_rn_duration_s,LT-RN total duration (s),10,214.05490000000003,100.4697913542507,31.771337672132518,142.183140913305,285.92665908669505
training,day1_session1,Day 1/S1,uniform,Uniform difficulty,lt_rn_count,LT-RN count,10,16.7,4.321779468896786,1.3666666666666667,13.608385210842453,19.791614789157546
training,day1_session1,Day 1/S1,uniform,Uniform difficulty,rt_ln_duration_s,RT-LN total duration (s),10,3.8703000000000003,6.791355208400358,2.147615085779262,-0.9879428492290385,8.72854284922904
training,day1_session1,Day 1/S1,uniform,Uniform difficulty,rt_ln_count,RT-LN count,10,0.8,1.3165611772087666,0.41633319989322654,-0.14181113024915915,1.7418111302491592
